index,en,zh-tw
140,optical ir,光學紅外
141,optical ir spectrometer,光學紅外光譜儀
142,particles separate,粒子分離
143,phase modulator,相位調製器
144,real life dimensions,現實生活維度
145,real life service,現實生活服務
146,real world activities,現實世界的活動
147,scientific instrument,科學儀器
148,separate lines,單獨的行
149,sld,sld
150,spatial modulator,空間調製器
151,spectral analysis,光譜分析
152,spectral components,光譜成分
153,spectral detection,光譜檢測
154,spectrometer,光譜儀
155,spectrometer availability,光譜儀可用性
156,spectrometer dealer,光譜儀經銷商
157,spectrometer price,光譜儀價格
158,spectroscopy,光譜學
159,additional hard disc,額外的硬盤
160,additional kitchen cabinets,額外的廚櫃
161,additional manpower,額外人力
162,additional plate elements,附加板元素
163,additional system,附加系統
164,auxiliary extra elements,輔助額外元素
165,biocompatible polymer,生物相容性聚合物
166,elements of the hard disk,硬盤的元素
167,extra elements,額外的元素
168,further additional,進一步補充
169,further additional elements,進一步的附加元素
170,further elements,其他元素
171,further extra elements,更多額外元素
172,further eye surgery,進一步的眼科手術
173,further optical elements,其他光學元件
174,microelectromechanical system,微機電系統
175,more further elements,更多元素
176,music elements,音樂元素
177,other additional elements,其他附加元素
178,producing nanostructure,產生納米結構
179,sacrificial layer,犧牲層
180,semiconductor component,半導體元件
181,vertically integrated mems structure,垂直整合的mems結構
182,capacitor plate,電容板
183,extruder,擠出機
184,eye layer,眼層
185,foam panel,泡沫板
186,fuse the processing of multiple cnn layers,融合多個cnn層的處理
187,fused bulb,電熔燈泡
188,fused coat,熔合大衣
189,fused film,熔合膜
190,fused flux,熔融助焊劑
191,fused kidney,融合腎
192,fused layer,融合層
193,fused layers,融合層
194,fused metal layer,熔融金屬層
195,fused multilayers,熔合多層
196,fused silica,熔融石英
197,fusion casting,熔鑄
198,laminated plastic,層壓塑料
199,layer pattern,圖層模式
200,melt,熔化
201,object layer,對象層
202,part layer,零件層
203,powder layer,粉層
204,powder pattern,粉末圖案
205,processing of layers,層處理
206,sun visor,遮陽板
207,fault,過錯
208,gas leak detector,氣體洩漏探測器
209,leak,洩漏
210,escape gas,逸出氣體
211,fluid leak,液體洩漏
212,fuel gas leak,燃氣洩漏
213,gas discharge tube,氣體放電管
214,gas distribute,氣體分佈
215,gas heater,燃氣加熱器
216,gas leakage,氣體洩漏
217,gas shortage,天然氣短缺
218,human detector,人體探測器
219,hydrogen leakage,氫氣洩漏
220,leak water,漏水
221,liquid leak,液體洩漏
222,natural gas leak,天然氣洩漏
223,open value,開放價值
224,overcurrent,過電流
225,predetermined condition,預定條件
226,predetermined voltage,預定電壓
227,water leak,漏水
228,air leak,漏氣
229,external leak,外部洩漏
230,fluid communication,流體通訊
231,fluid leakage,流體洩漏
232,fluid mechanics,流體力學
233,gas detection,氣體檢測
234,gas flow detection,氣體流量檢測
235,gas flow temperature,氣流溫度
236,gas leak detecting,氣體洩漏檢測
237,gas leak detection,氣體洩漏檢測
238,gas leakage detecting,氣體洩漏檢測
239,gas leakage detection,氣體洩漏檢測
240,gas temperature,氣體溫度
241,leak test,洩漏測試
242,leakage current,漏電流
243,leaking gas,漏氣
244,leaks of gases,氣體洩漏
245,temperature assistance,溫度輔助
246,automobile fuel,汽車燃料
247,barrel of crude oil,一桶原油
248,blend,混合
249,blender machine,攪拌機
250,blending,混合
251,combustion engines,內燃機
252,composite blend,複合共混物
253,distillate fraction blend,餾分混合物
254,distillation of petroleum,石油蒸餾
255,fruit blend,水果混合
256,fuel blend,混合燃料
257,fuel blending,燃料混合
258,gasoline blending,汽油調和
259,gasoline mixture,汽油混合物
260,gasoline other blend,汽油 其他混合物
261,heterogeneous mixture,異質混合物
262,hydrocarbon blend,烴類混合物
263,massage oil,按摩油
264,octane fraction blend,辛烷餾分混合物
265,oil blending,油調和
266,petrol blend,汽油混合物
267,petroleum derived flammable liquid,石油衍生易燃液體
268,reciprocating engines,往復式引擎
269,refinery blend,煉油廠混合物
270,refinery gasoline blend,煉油廠汽油混合物
271,refinery gasoline blending,煉油廠汽油調和
272,refinery process,煉油工藝
273,vegetable blend,蔬菜混合物
274,cable core,電纜芯
275,closed gate,關門
276,coating film,塗膜
277,coating wall paint,塗牆漆
278,conductor coil,導體線圈
279,constant flow,恆流
280,dielectric constant,介電常數
281,external gate insulator,外柵絕緣體
282,ferroelectric capacitor,鐵電電容器
283,film insulating layer,薄膜絕緣層
284,film of insulating layer,絕緣層薄膜
285,film of oxide layer,氧化膜
286,film oxide insulating layer,薄膜氧化絕緣層
287,film oxide layer,薄膜氧化層
288,gate dielectric film,柵介質膜
289,gate insulating cover,柵極絕緣蓋
290,gate insulator,柵極絕緣子
291,gate insulator layer,柵極絕緣層
292,gate insulator materials,柵極絕緣材料
293,gate insulator thickness,柵極絕緣層厚度
294,insulating,絕緣
295,insulating film,絕緣膜
296,insulating layer,絕緣層
297,insulating semiconductor film,絕緣半導體膜
298,insulating semiconductor layer,絕緣半導體層
299,insulating substrate,絕緣基板
300,insulator film,絕緣膜
301,layer oxide film,層氧化膜
302,mos capacitor,MOS電容
303,oxide film,氧化膜
304,oxide insulating film,氧化物絕緣膜
305,oxide insulating layer,氧化物絕緣層
306,oxide layer,氧化層
307,scr,scr
308,semiconductor film,半導體薄膜
309,semiconductor insulating,半導體絕緣
310,semiconductor insulating film,半導體絕緣膜
311,semiconductor insulating layer,半導體絕緣層
312,semiconductor layer,半導體層
313,silicon oxide film,氧化矽膜
314,sleeve bearing,套筒軸承
315,sleeve valve,套筒閥
316,slew rate,轉換率
317,source insulating layer,源絕緣層
318,thermal oxide film,熱氧化膜
319,thermally oxidized gan film,熱氧化gan膜
320,thin film transistors,薄膜晶體管
321,transistor film,晶體管薄膜
322,tunnel oxide film,隧道氧化膜
323,allowable gate location,允許的澆口位置
324,clock generation circuit,時鐘產生電路
325,cmos,CMOS
326,desired gate location,所需的澆口位置
327,doppler echocardiography imaging,多普勒超聲心動圖成像
328,gate area,門區
329,gate boundary,門邊界
330,gate exam,門試
331,gate layout,大門佈局
332,gate position,澆口位置
333,gated location,門控位置
334,gateway,網關
335,gating location,澆口位置
336,gating position,澆口位置
337,gating region,選通區
338,home location,家庭位置
339,input gate location,輸入門位置
340,location marker,位置標記
341,misplaced products,錯位產品
342,misplaced tolerance,錯位公差
343,possible gate,可能的門
344,possible location,可能的位置
345,roi,投資回報率
346,selected gate location,選定的澆口位置
347,state of wandering,遊蕩的狀態
348,wicket gate,檢票口
349,anaphylaxis,過敏反應
350,etomidate,依托咪酯
351,general adaptation,一般適應
352,general coach,普通教練
353,general knowledge,基本知識
354,general physician,全科醫生
355,general store,一般商店
356,intravenous,靜脈
357,local anesthesia,局部麻醉
358,loss of memory,記憶力減退
359,loss of sensation,感覺喪失
360,medical purpose,醫療目的
361,propofol,異丙酚
362,regional anesthesia,區域麻醉
363,sedation without unconsciousness,無意識的鎮靜
364,sedative,鎮靜劑
365,spinal anesthesia,腰麻
366,surgery,手術
367,systemic anesthesia,全身麻醉
368,systemic anesthetic,全身麻醉劑
369,topical anesthesia,局部麻醉
370,unconscious,無意識
371,air conditioning device for hybrid vehicle,混合動力汽車空調裝置
372,convert logical data,轉換邏輯數據
373,create control signal,創建控制信號
374,determine decision,決定決定
375,determine parameter,確定參數
376,determine threshold,確定閾值
377,eye control communication,眼控通訊
378,fuel tank nozzle,油箱噴嘴
379,generate brain wave,產生腦電波
380,generate control signal,產生控制信號
381,generate decision,產生決定
382,generate ecg waveforms,生成心電波形
383,generate health id,生成健康 ID
384,generate parameter,生成參數
385,generate threshold,生成閾值
386,generating external logic signal,產生外部邏輯信號
387,headrest for automotive seats,汽車座椅頭枕
388,make control signal,發出控制信號
389,managing output,管理輸出
390,produce command signal,產生指令信號
391,produce control signal,產生控制信號
392,retrieve control signals,檢索控制信號
393,slider controlling,滑塊控制
394,visual composer,視覺作曲家
395,destroy in layer,層內破壞
396,generate at layer,在層生成
397,generate by layer,按層生成
398,generate energy,產生能量
399,generate in active layer,在活動層中生成
400,generate in layer,層內生成
401,generate in layer material,在層材料中生成
402,generate in substrate,在基板中生成
403,generate in wafer,在晶圓中生成
404,generate layer,生成層
405,generate sound,產生聲音
406,layer by layer manufacturing,層層製造
407,layer generation,層生成
408,layered formation,分層地層
409,layers of atmosphere,大氣層
410,produce in layer,分層生產
411,rails without layers,沒有層的鐵軌
412,sandwich layer,夾層
413,silicon wafer without layers,無層矽片
414,thermosphere layer,熱層
415,without contours,沒有輪廓
416,cake layer,蛋糕層
417,create by layer,按層創建
418,create in layer,在圖層中創建
419,data generator,數據生成器
420,destroy layer,破壞層
421,dismantle layer,拆層
422,eliminate by layer,逐層消除
423,fabrication method,製作方法
424,generate id,生成標識
425,generate qr code,生成二維碼
426,generating different layers,生成不同的層
427,layered dress,分層連衣裙
428,make in layer,做層
429,make thin layers,製作薄層
430,ozone layer,臭氧層
431,precipitate by layer,逐層沉澱
432,produce in layers,分層生產
433,silicon layer,矽層
434,thick layer,厚層
435,ac power,交流電
436,dc power,直流電源
437,developed electrical power,發達的電力
438,electric blood oxygen heart rate,電動血氧心率
439,electric blood pressure,電子血壓計
440,electrical load,電力負荷
441,electrical operating power,電氣工作功率
442,electrical power supply,電源
443,electrical power system,電力系統
444,energy grid,能源網
445,energy meter,能量計
446,energy network,能源網絡
447,energy power grid,能源電網
448,energy power network,能源電力網絡
449,generated electric power,發電量
450,generated electrical,產生的電
451,generated electrical power,產生的電力
452,generated password,生成的密碼
453,generated power,發電量
454,generator,發電機
455,inductive load,感性負載
456,multi cylinder system,多缸系統
457,operating power,工作功率
458,power energy grid,電力能源網
459,power grid,電網
460,power network,電網
461,power pack vitamins,電源組維生素
462,power point,微軟幻燈片軟件
463,produced electrical power,產生的電力
464,radial cylinders,徑向圓柱
465,alternating,交替
466,alternating current,交流電
467,alternating electrical signal,交流電信號
468,alternating electrical voltage,交流電壓
469,alternating signal,交流信號
470,alternating voltage,交流電壓
471,alternative energy,可替代能源
472,conventional power,常規電源
473,driving electrical generators,驅動發電機
474,electric power,電力
475,electric power production,電力生產
476,electric vehicles,電動汽車
477,electrical business card,電子名片
478,electromagnetic current,電磁電流
479,electromagnetic voltage,電磁電壓
480,generated electrical energy,產生的電能
481,generated photos,生成的照片
482,generated value,產生的價值
483,generating ac power,產生交流電
484,generative nucleus,生殖核
485,induced alternating signal,感應交變信號
486,induced alternating voltage,感應交流電壓
487,induced electrical signal,感應電信號
488,induced electrical voltage,感應電壓
489,low voltage electricity,低壓電
490,operating electrical power,工作電力
491,phase electrical power,相電功率
492,power energy,電力能源
493,power generation systems,發電系統
